Course Name,Course Code,Component,Major,Room,Day,Start Time,End Time,Seats,Faculty,L/T/P Hour,Open as UWE,Type,Class Notes
Fluid Machinery,MED306,LEC1,MED3YR,,MW,11:00 AM,12:00 PM,90,"Visakh Vaikuntanathan
",2,YES,,
Fluid Machinery,MED306,PRAC1,MED31,C010,M,3:00 PM,5:00 PM,30,"Sathi Rajesh Reddy[20500731],
",2,YES,,
Fluid Machinery,MED306,PRAC2,MED32,C010,W,3:00 PM,5:00 PM,30,"Sathi Rajesh Reddy[20500731],
",2,YES,,
Fluid Machinery,MED306,PRAC3,MED33,C010,F,3:00 PM,5:00 PM,30,"Sathi Rajesh Reddy[20500731],
",2,YES,,
Finite Element Methods,MED307,LEC1,MED3YR,,MW,9:30 AM,11:00 AM,60,"Kamineni Nayayana[1510120028],
Ramesh Gupta Burela[20500198],
",3,NO,Major Elective,
CAD & Manufacturing,MED314,LEC1,MED21 MED22,,MW,11:00 AM,12:00 PM,90,"Ramesh Gupta Burela[20500198],
Ganeshthangaraj  Ponniah[20500265],
",2,NO,,
CAD & Manufacturing,MED314,PRAC1,MED21,D018,M,3:00 PM,5:00 PM,45,"Ramesh Gupta Burela[20500198],
Ganeshthangaraj  Ponniah[20500265],
",2,YES,,
CAD & Manufacturing,MED314,PRAC2,MED22,D018,W,3:00 PM,5:00 PM,45,"Ramesh Gupta Burela[20500198],
Ganeshthangaraj  Ponniah[20500265],
",2,YES,,
I.C. Engines & Automobiles,MED315,LEC1,MED3YR,,TThF,8:00 AM,9:00 AM,85,"Sathi Rajesh Reddy[20500731],
Sumit  Tiwari[20501098],
",3,NO,,
I.C. Engines & Automobiles,MED315,PRAC1,MED31,IC Engine Lab,F,1:00 PM,3:00 PM,29,"Sathi Rajesh Reddy[20500731],
Sumit  Tiwari[20501098],
",2,NO,,
I.C. Engines & Automobiles,MED315,PRAC2,MED32,IC Engine Lab,M,1:00 PM,3:00 PM,28,"Sathi Rajesh Reddy[20500731],
Sumit  Tiwari[20501098],
",2,NO,,
I.C. Engines & Automobiles,MED315,PRAC3,MED33,IC Engine Lab,W,1:00 PM,3:00 PM,28,"Sathi Rajesh Reddy[20500731],
Sumit  Tiwari[20501098],
",2,NO,,
Fundamentls of Hyd. Fuel Cells,MED324,LEC1,MED3YR,,TThF,9:00 AM,10:00 AM,60,"Harpreet Singh Arora[20500396],
",3,NO,Major Elective,
Industrial Automation,MED326,LEC1,MED3YR,,TTh,4:00 PM,5:00 PM,60,"Divya  Shrivastava[20500160],
Ganeshthangaraj  Ponniah[20500265],
",2,NO,Major Elective,
Industrial Automation,MED326,PRAC1,MED3YR,C004,M,1:00 PM,3:00 PM,60,"Divya  Shrivastava[20500160],
Ganeshthangaraj  Ponniah[20500265],
",2,NO,Major Elective,
Solar Energy,MED403,LEC1,MED3YR,,TTh,4:00 PM,5:00 PM,30,"Harender  .[20500199],
",2,NO,Major Elective,
Solar Energy,MED403,PRAC1,MED3YR,,M,1:00 PM,3:00 PM,30,"Harender  .[20500199],
",2,NO,Major Elective,
Adv. Comp. Prog. & Num. Tech.,MED404,LEC1,MED3YR,,TTh,2:00 PM,3:00 PM,60,"Meha  Bhogra[20501445],
",2,NO,Major Elective,
Adv. Comp. Prog. & Num. Tech.,MED404,PRAC1,MED31,D018,F,3:00 PM,5:00 PM,30,"Meha  Bhogra[20501445],
",2,NO,Major Elective,
Adv. Comp. Prog. & Num. Tech.,MED404,PRAC2,MED32 MED33,D018,W,3:00 PM,5:00 PM,30,"Meha  Bhogra[20501445],
",2,NO,Major Elective,
Energy Conv.Tech & Energy Mgmt,MED413,LEC1,MED3YR,,TThF,10:00 AM,11:00 AM,60,"Santanu  Mitra[20500178],
",3,NO,Major Elective,
Business Law,MGT201,LEC1,BMS11,,TTh,3:30 PM,5:00 PM,70,"Rashmi  Aggarwal[20501530],
",3,NO,,
Business Law,MGT201,LEC2,BMS12,,TTh,2:00 PM,3:30 PM,70,"Rashmi  Aggarwal[20501530],
",3,NO,,
Legal aspects of Marketing,MGT206,LEC1,BMS2YR BMS3YR BMS4YR,,TTh,9:00 AM,10:00 AM,60,"Rashmi  Aggarwal[20501530],
",2,YES,Major Elective,
TVL Execution Phase,MGT207,LEC1,BMS2YR,,F,12:00 PM,1:00 PM,70,"Partha Sarathi Roy[20500222],
",1,NO,,
Understanding Family Business,MGT209,LEC1,BMS2YR BMS3YR BMS4YR,,MW,11:00 AM,12:20 PM,60,"Shruti  Sardeshmukh[20501795],
",3,NO,Major Elective,
Overcoming Communicating Barriers,MGT303,LEC1,BMS2YR BMS3YR BMS4YR,,MW,9:30 AM,11:00 AM,60,Devmalya Biswas,3,NO,Major Elective,
Fund. of Intellectual Property,MGT401,LEC1,BMS2YR BMS3YR BMS4YR,,MW,11:00 AM,12:20 PM,60,"Vinita  Krishna[20501149],
",3,YES,Major Elective,
Services marketing,MKT403,LEC1,BMS2YR,,TTh,2:00 PM,3:30 PM,60,,3,NO,Major Elective,
Mining Insights,MKT405,LEC1,BMS2YR,,MW,1:00 PM,3:00 PM,40,"Paromita  Goswami[20500241],
",4,YES,Major Elective,
Marketing Research,MKT406,LEC1,BMS2YR BMS3YR BMS4YR,,TTh,2:00 PM,3:30 PM,60,"Bikramjit  Rishi[20501490],
",3,YES,,
Leadership Prin. & Practices,OHM301,LEC1,BMS3YR BMS4YR,,M,3:00 PM,5:00 PM,60,"Arvind  Shatdal[20500216],
",2,YES,Major Elective,
Leadership Prin. & Practices,OHM301,PRAC1,BMS3YR BMS4YR,,Th,10:00 AM,11:00 AM,60,"Arvind  Shatdal[20500216],
",1,YES,Major Elective,
A Behavioural Lens on Pol.....,OHM302,LEC1,BMS2YR BMS3YR BMS4YR,,TF,10:00 AM,11:00 AM,60,"Vivek  Khanna[20501200],
",2,YES,Major Elective,
Japanese Management,OHM403,LEC1,BMS2YR BMS3YR BMS4YR,,TTh,3:30 PM,5:00 PM,60,"Kaushik  Chaudhuri[20500281],
",3,YES,,
Introduction to Physics II,PHY102,LEC1,CSD11 CSD12,,TThF,10:00 AM,11:00 AM,65,"Syed Mohammad Kamil[20500088],
",3,NO,,
Introduction to Physics II,PHY102,LEC2,CSD13 CSD14,,TThF,10:00 AM,11:00 AM,65,"Sajal Kumar Ghosh[20500246],
",3,NO,,
Introduction to Physics II,PHY102,LEC3,ECE11 ECE12 ECE13,,TThF,10:00 AM,11:00 AM,85,"Bhaskar  Kaviraj[20500244],
",3,NO,,
Introduction to Physics II,PHY102,LEC4,CHD1YR CED1YR MED1YR CHY1YR,,TThF,10:00 AM,11:00 AM,80,"Subhra  Sen Gupta[20500365],
",3,NO,,
Introduction to Physics II,PHY102,PRAC1,CSD11 CSD12,A103,M,2:00 PM,5:00 PM,100,"Sajal Kumar Ghosh[20500246],
",3,NO,,
Introduction to Physics II,PHY102,PRAC2,CSD13 CSD14,A103,M,2:00 PM,5:00 PM,100,"Mayukh  Majumder[20501260],
",3,NO,,
Introduction to Physics II,PHY102,PRAC3,ECE11 ECE12 ECE13,A103,W,2:00 PM,5:00 PM,100,"Susanta Sinha Roy[20500095],
",3,NO,,
Introduction to Physics II,PHY102,PRAC4,CHD1YR CED1YR MED1YR CHY1YR,A103,W,2:00 PM,5:00 PM,100,"Rakesh  Kumar[20500918],
",3,NO,,
Introduction to Physics II,PHY102,TUT1,CSD11,,M,5:00 PM,6:00 PM,40,"Syed Mohammad Kamil[20500088],
",1,NO,,
Introduction to Physics II,PHY102,TUT2,CSD12,,W,5:00 PM,6:00 PM,40,"Syed Mohammad Kamil[20500088],
",1,NO,,
Introduction to Physics II,PHY102,TUT3,CSD13,,W,5:00 PM,6:00 PM,40,"Syed Mohammad Kamil[20500088],
",1,NO,,
Introduction to Physics II,PHY102,TUT4,CSD14,,W,6:00 PM,7:00 PM,40,"Syed Mohammad Kamil[20500088],
",1,NO,,
Introduction to Physics II,PHY102,TUT5,ECE11,,W,5:00 PM,6:00 PM,40,"Syed Mohammad Kamil[20500088],
",1,NO,,
Introduction to Physics II,PHY102,TUT6,ECE12,,F,5:00 PM,6:00 PM,40,"Syed Mohammad Kamil[20500088],
",1,NO,,
Introduction to Physics II,PHY102,TUT7,ECE13,,M,5:00 PM,6:00 PM,40,"Syed Mohammad Kamil[20500088],
",1,NO,,
Introduction to Physics II,PHY102,TUT8,MED11 CED1YR,,W,6:00 PM,7:00 PM,40,"Syed Mohammad Kamil[20500088],
",1,NO,,
Introduction to Physics II,PHY102,TUT9,MED12,,M,6:00 PM,7:00 PM,40,"Syed Mohammad Kamil[20500088],
",1,NO,,
Introduction to Physics II,PHY102,TUT10,CHD1YR CHY1YR,,M,6:00 PM,7:00 PM,40,"Syed Mohammad Kamil[20500088],
",1,NO,,
Fundamentals of Physics II,PHY104,LEC1,PHY1YR,,TThF,8:00 AM,9:00 AM,40,"Binson  Babu[20501682],
",3,YES,,
Fundamentals of Physics II,PHY104,TUT1,PHY1YR,,M,3:00 PM,4:00 PM,40,"Binson  Babu[20501682],
",1,YES,,
Fundamentals of Physics II,PHY104,PRAC1,PHY1YR,A103,F,2:00 PM,5:00 PM,40,"Binson  Babu[20501682],
",3,YES,,
Intro. to Comptnl. Phy. II,PHY106,LEC1,PHY1YR,,TThF,10:00 AM,11:00 AM,30,"Rana  Nandi[20501594],
",1,YES,,
Intro. to Comptnl. Phy. II,PHY106,TUT1,PHY1YR,,M,1:00 PM,2:00 PM,30,"Rana  Nandi[20501594],
",1,YES,,
Intro. to Comptnl. Phy. II,PHY106,PRAC1,PHY1YR,A012,W,3:00 PM,5:00 PM,30,"Rana  Nandi[20501594],
",2,YES,,
Physics For Life,PHY108,LEC1,BIO1YR,,TThF,9:00 AM,10:00 AM,30,"Samarendra Pratap Singh[20500036],
",3,YES,,
Physics For Life,PHY108,PRAC1,BIO1YR,A103,T,2:00 PM,5:00 PM,30,"Syed Mohammad Kamil[20500088],
",3,YES,,
Intro. to Quantum Mechanics,PHY202,LEC1,PHY2YR,,TThF,9:00 AM,10:00 AM,40,"Kenji  Nishiwaki[20501181],
",3,YES,,
Intro. to Quantum Mechanics,PHY202,TUT1,PHY2YR,,F,1:00 PM,2:00 PM,40,"Kenji  Nishiwaki[20501181],
",1,YES,,
Intro. to Mathematical Phy. II,PHY204,LEC1,PHY2YR,,MW,11:00 AM,12:00 PM,30,"Santosh  Kumar[20500193],
",2,YES,,
Intro. to Mathematical Phy. II,PHY204,TUT1,PHY2YR,,M,1:00 PM,2:00 PM,30,"Santosh  Kumar[20500193],
",1,YES,,
Electronics I,PHY206,LEC1,PHY2YR,,TTh,10:00 AM,11:00 AM,30,"Priya Sudhir Johari[20500084],
",2,YES,,
Electronics I,PHY206,TUT1,PHY2YR,,F,10:00 AM,11:00 AM,30,"Priya Sudhir Johari[20500084],
",1,YES,,
Electronics I,PHY206,PRAC1,PHY2YR,A114,F,2:00 PM,5:00 PM,30,"Priya Sudhir Johari[20500084],
",3,YES,,
Advanced Experimental Phy. I,PHY208,LEC1,PHY2YR,,T,1:00 PM,2:00 PM,40,"Aloke  Kanjilal[20500143],
",1,YES,,
Advanced Experimental Phy. I,PHY208,PRAC1,PHY2YR,A105,W,1:00 PM,5:00 PM,40,"Aloke  Kanjilal[20500143],
",4,YES,,
Statistical Physics,PHY302,LEC1,PHY3YR,,TThF,9:00 AM,10:00 AM,30,"Subhra  Sen Gupta[20500365],
",3,YES,,
Statistical Physics,PHY302,TUT1,PHY3YR,,F,2:00 PM,3:00 PM,30,"Subhra  Sen Gupta[20500365],
",1,YES,,
Condensed Matter Physics,PHY304,LEC1,PHY3YR,,TThF,8:00 AM,9:00 AM,30,"Mayukh  Majumder[20501260],
",3,YES,,
Condensed Matter Physics,PHY304,TUT1,PHY3YR,,F,1:00 PM,2:00 PM,30,"Mayukh  Majumder[20501260],
",1,YES,,
Quantum Mechanics II,PHY306,LEC1,PHY3YR,,MW,9:30 AM,11:00 AM,30,"Arindam  Chatterjee[20501204],
",3,YES,,
Quantum Mechanics II,PHY306,TUT1,PHY3YR,,M,2:00 PM,3:00 PM,30,"Arindam  Chatterjee[20501204],
",1,YES,,
Adv. Experimental Physics - II,PHY308,LEC1,PHY3YR,,T,1:00 PM,2:00 PM,30,"Bhaskar  Kaviraj[20500244],
",1,YES,,
Adv. Experimental Physics - II,PHY308,PRAC1,PHY3YR,A106,W,1:00 PM,5:00 PM,30,"Praloy  Mondal[20501713],
Bhaskar  Kaviraj[20500244],
",4,YES,,
Semiconductor Phy & Devices,PHY558,LEC1,PHY4YR,,TTh,3:30 PM,5:00 PM,30,"Samarendra Pratap Singh[20500036],
",3,NO,Major Elective,
Advanced High Energy Physics,PHY561,LEC1,PHY4YR,,TTh,2:00 PM,3:30 PM,30,"Kenji  Nishiwaki[20501181],
",3,NO,Major Elective,
Characterization Of Materials,PHY573,LEC1,PHY4YR,,MW,9:30 AM,11:00 AM,30,"Susanta Sinha Roy[20500095],
Aloke  Kanjilal[20500143],
",3,NO,Major Elective,
Introduction to Astronomy...,PHY590,LEC1,PHY4YR,,MW,11:00 AM,12:30 PM,30,"Rana  Nandi[20501594],
",3,NO,Major Elective,
Astroparticle Physics & Cosm..,PHY595,LEC1,PHY4YR,,MW,8:00 AM,9:30 AM,30,"Arindam  Chatterjee[20501204],
",3,NO,Major Elective,
Understanding Modernity,SOC102,LEC1,ENG1YR HIS1YR INT1YR ECO1YR ENF11 ENF12 SOC1YR,,MW,3:30 PM,4:30 PM,162,Sreedeep,2,NO,,
Understanding Modernity,SOC102,LEC1,ENG1YR HIS1YR INT1YR ECO1YR ENF11 ENF12 SOC1YR,,M,4:30 PM,5:30 PM,,Sreedeep,1,NO,,
Understanding Modernity,SOC102,TUT1,ENG1YR HIS1YR INT1YR ECO1YR ENF11 ENF12 SOC1YR,,W,4:30 PM,5:30 PM,162,Sreedeep,1,NO,,
Anthropological Theory,SOC119,LEC1,SOC1YR,,MW,9:30 AM,11:00 AM,30,"Ravi Nandan Singh[20501451],
",3,YES,,
Anthropological Theory,SOC119,TUT1,SOC1YR,,M,1:00 PM,2:00 PM,30,"Ravi Nandan Singh[20501451],
",1,YES,,
"Hierarchy, Difference, Inequal",SOC120,LEC1,SOC1YR,,TTh,2:00 PM,3:30 PM,30,"Saidalavi  P.C.[20501607],
",3,YES,Major Elective,
"Hierarchy, Difference, Inequal",SOC120,TUT1,SOC1YR,,W,1:00 PM,2:00 PM,30,"Saidalavi  P.C.[20501607],
",1,YES,Major Elective,
Religion and Society,SOC225,LEC1,SOC2YR,,MW,3:00 PM,4:30 PM,30,"Saidalavi  P.C.[20501607],
",3,YES,,
Religion and Society,SOC225,TUT1,SOC2YR,,M,1:00 PM,2:00 PM,30,"Saidalavi  P.C.[20501607],
",1,YES,,
State and Citizenship,SOC226,LEC1,SOC2YR,,TTh,3:30 PM,5:00 PM,30,"Ravi Nandan Singh[20501451],
",3,YES,,
State and Citizenship,SOC226,TUT1,SOC2YR,,W,1:00 PM,2:00 PM,30,"Ravi Nandan Singh[20501451],
",1,YES,,
"Visuality, Power, Optics",SOC228,LEC1,SOC2YR,,TTh,2:00 PM,3:30 PM,30,"Subhashim  Goswami[20500773],
",3,YES,Major Elective,
"Visuality, Power, Optics",SOC228,TUT1,SOC2YR,,M,2:00 PM,3:00 PM,30,"Subhashim  Goswami[20500773],
",1,YES,Major Elective,
Anthropology of Climate Change,SOC305,LEC1,SOC3YR,,TTh,9:30 AM,11:00 AM,30,"Vasundhara  Bhojvaid[20501005],
",3,YES,Major Elective,
Anthropology of Climate Change,SOC305,TUT1,SOC3YR,,F,4:00 PM,5:00 PM,30,"Vasundhara  Bhojvaid[20501005],
",1,YES,Major Elective,
The Life of Law,SOC317,LEC1,SOC3YR,,MW,11:00 AM,12:30 PM,30,"Devika  Bordia[20500658],
",3,YES,Major Elective,
The Life of Law,SOC317,TUT1,SOC3YR,,T,1:00 PM,2:00 PM,30,"Devika  Bordia[20500658],
",1,YES,Major Elective,
From Feminism to Queer Studies,SOC322,LEC1,SOC3YR,,TTh,2:00 PM,3:30 PM,30,"Urmila  Bhirdikar[20500858],
",3,YES,Major Elective,
From Feminism to Queer Studies,SOC322,TUT1,SOC3YR,,F,1:00 PM,2:00 PM,30,"Urmila  Bhirdikar[20500858],
",1,YES,Major Elective,
Field Archive Ethnography,SOC324,LEC1,SOC3YR,,MW,8:00 AM,9:30 AM,30,"Subhashim  Goswami[20500773],
",3,YES,,
Field Archive Ethnography,SOC324,TUT1,SOC3YR,,M,5:00 PM,6:00 PM,30,"Subhashim  Goswami[20500773],
",1,YES,,
Rap Music in Multiple Contexts,SOC326,LEC1,SOC3YR,,MW,3:00 PM,4:00 PM,30,"Urmila  Bhirdikar[20500858],
",2,YES,Major Elective,
Rap Music in Multiple Contexts,SOC326,LEC1,SOC3YR,,M,4:00 PM,5:00 PM,30,"Urmila  Bhirdikar[20500858],
",1,YES,Major Elective,
Rap Music in Multiple Contexts,SOC326,TUT1,SOC3YR,,W,4:00 PM,5:00 PM,30,"Urmila  Bhirdikar[20500858],
",1,YES,Major Elective,
Anthropology and the Village,SOC327,LEC1,SOC3YR,,MW,1:00 PM,2:00 PM,30,"Anita  Sharma[20501003],
",2,YES,Major Elective,
Anthropology and the Village,SOC327,LEC1,SOC3YR,,M,2:00 PM,3:00 PM,30,"Anita  Sharma[20501003],
",1,YES,Major Elective,
Anthropology and the Village,SOC327,TUT1,SOC3YR,,W,2:00 PM,3:00 PM,30,"Anita  Sharma[20501003],
",1,YES,Major Elective,
The Politics of Life and Death,SOC414,LEC1,SOC4YR,,TTh,3:30 PM,4:30 PM,30,"Devika  Bordia[20500658],
",2,YES,Major Elective,
The Politics of Life and Death,SOC414,LEC1,SOC4YR,,T,4:30 PM,5:30 PM,30,"Devika  Bordia[20500658],
",1,YES,Major Elective,
The Politics of Life and Death,SOC414,TUT1,SOC4YR,,Th,4:30 PM,5:30 PM,30,"Devika  Bordia[20500658],
",1,YES,Major Elective,
Sociology of Art,SOC418,LEC1,SOC4YR,,TTh,9:00 AM,10:00 AM,30,Roma Chatterji,2,YES,Major Elective,
Sociology of Art,SOC418,LEC1,SOC4YR,,T,10:00 AM,11:00 AM,30,Roma Chatterji,1,YES,Major Elective,
Sociology of Art,SOC418,TUT1,SOC4YR,,Th,10:00 AM,11:00 AM,30,Roma Chatterji,1,YES,Major Elective,
Business Simulation,STM303,LEC1,BMS3YR,,F,2:00 PM,6:00 PM,60,"Pradeep  Mehra[20501341],
",2,NO,,
Advance Strategic Management,STM403,LEC1,BMS3YR BMS4YR,,W,3:00 PM,5:00 PM,60,"Deepak Kumar Sinha[20501452],
",2,YES,Major Elective,
Advance Strategic Management,STM403,PRAC1,BMS3YR BMS4YR,A207,F,9:00 AM,10:00 AM,60,"Deepak Kumar Sinha[20501452],
",1,YES,Major Elective,
Mngmt Consultancy Practicum,STM405,PRAC1,BMS4YR,A012,S,2:00 PM,5:00 PM,20,"Bikramjit  Rishi[20501490],
",3,NO,Major Elective,
